id,description,do_dirichlet,eval_l_comps,T_dep_movement,T_dep_recruitment,T_dep_mortality,spawner_recruit_relationship,process_error_toggle,exp_yn,known_f,known_historic_f
v0.1,null model,1,0,0,0,0,0,0,1,0,0
v0.2,length comps,1,1,0,0,0,0,0,1,0,0
v0.3,known f,1,0,0,0,0,0,0,1,1,1
v0.4,spawner recruit,1,0,0,0,0,1,0,1,0,0
v0.5,temperature movement,1,0,1,0,0,0,0,0,0,0
v0.6,temperature recruitment,1,0,0,1,0,0,0,1,0,0
v0.7,temperature mortality,1,0,0,0,1,0,0,1,0,0
v0.8,process error,1,0,0,0,0,0,1,1,0,0
v0.9,"length comps, known f",1,1,0,0,0,0,0,1,1,1
v0.10,"length comps, spawner recruit",1,1,0,0,0,1,0,1,0,0
v0.11,"length comps, process error",1,1,0,0,0,0,1,1,0,0
v0.12,"spawner recruit, known f",1,0,0,0,0,1,1,1,0,0
v0.13,"process error, known f",1,0,0,0,0,0,1,1,1,1
v0.14,"spawner recruit, process error",1,0,0,0,0,1,1,1,0,0
v0.15,"length comps, temperature movement",1,1,1,0,0,0,0,0,0,0
v0.16,"length comps, temperature recruitment",1,1,0,1,0,0,0,1,0,0
v0.17,"length comps, temperature mortality",1,1,0,0,1,0,0,1,0,0
v0.18,"known f, temperature movement",1,0,1,0,0,0,0,0,1,1
v0.19,"known f, temperature recruitment",1,0,0,1,0,0,0,1,1,1
v0.20,"known f, temperature mortality",1,0,0,0,1,0,0,1,1,1
v0.21,"process error, temperature movement",1,0,1,0,0,0,1,0,0,0
v0.22,"process error, temperature recruitment",1,0,0,1,0,0,1,1,0,0
v0.23,"process error, temperature mortality",1,0,0,0,1,0,1,1,0,0
v0.24,"spawner recruit, temperature movement",1,0,1,0,0,1,0,0,0,0
v0.25,"spawner recruit, temperature recruitment",1,0,0,1,0,1,0,1,0,0
v0.26,"spawner recruit, temperature mortality",1,0,0,0,1,1,0,1,0,0
v0.27,"length comps, known f, temperature movement",1,1,1,0,0,0,0,0,1,1
v0.28,"length comps, known f, temperature recruitment",1,1,0,1,0,0,0,1,1,1
v0.29,"length comps, known f, temperature mortality",1,1,0,0,1,0,0,1,1,1
v0.30,"length comps, spawner recruit, temperature movement",1,1,1,0,0,1,0,0,0,0
v0.31,"length comps, spawner recruit, temperature recruitment",1,1,0,1,0,1,0,1,0,0
v0.32,"length comps, spawner recruit, temperature mortality",1,1,0,0,1,1,0,1,0,0
v0.33,"length comps, process error, temperature movement",1,1,1,0,0,0,1,0,0,0
v0.34,"length comps, process error, temperature recruitment",1,1,0,1,0,0,1,1,0,0
v0.35,"length comps, process error, temperature mortality",1,1,0,0,1,0,1,1,0,0
v0.36,"spawner recruit, known f, temperature movement",1,0,1,0,0,1,0,0,1,1
v0.37,"spawner recruit, known f, temperature recruitment",1,0,0,1,0,1,0,1,1,1
v0.38,"spawner recruit, known f, temperature mortality",1,0,0,0,1,1,0,1,1,1
v0.39,"process error, known f, temperature movement",1,0,1,0,0,0,1,0,1,1
v0.40,"process error, known f, temperature recruitment",1,0,0,1,0,0,1,1,1,1
v0.41,"process error, known f, temperature mortality",1,0,0,0,1,0,1,1,1,1
v0.42,"spawner recruit, process error, temperature movement",1,0,1,0,0,1,1,0,0,0
v0.43,"spawner recruit, process error, temperature recruitment",1,0,0,1,0,1,1,1,0,0
v0.44,"spawner recruit, process error, temperature mortality",1,0,0,0,1,1,1,1,0,0
v0.45,"length comps, spawner recruit, process error",1,1,0,0,0,1,1,1,0,0
v0.46,"length comps, process error, known f",1,1,0,0,0,0,1,1,1,1
v0.47,"length comps, spawner recruit, known f",1,1,0,0,0,1,0,1,1,1
v0.48,"spawner recruit, process error, known f",1,0,0,0,0,1,1,1,1,1
v0.49,"length comps, spawner recruit, process error, temperature movement",1,1,1,0,0,1,1,0,0,0
v0.50,"length comps, spawner recruit, process error, temperature recruitment",1,1,0,1,0,1,1,1,0,0
v0.51,"length comps, spawner recruit, process error, temperature mortality",1,1,0,0,1,1,1,1,0,0
v0.52,"length comps, process error, known f, temperature movement",1,1,1,0,0,0,1,0,1,1
v0.53,"length comps, process error, known f, temperature recruitment",1,1,0,1,0,0,1,1,1,1
v0.54,"length comps, process error, known f, temperature mortality",1,1,0,0,1,0,1,1,1,1
v0.55,"length comps, spawner recruit, known f, temperature movement",1,1,1,0,0,1,0,0,1,1
v0.56,"length comps, spawner recruit, known f, temperature recruitment",1,1,0,1,0,1,0,1,1,1
v0.57,"length comps, spawner recruit, known f, temperature mortality",1,1,0,0,1,1,0,1,1,1
v0.58,"spawner recruit, process error, known f, temperature movement",1,0,1,0,0,1,1,0,1,1
v0.59,"spawner recruit, process error, known f, temperature recruitment",1,0,0,1,0,1,1,1,1,1
v0.60,"spawner recruit, process error, known f, temperature mortality",1,0,0,0,1,1,1,1,1,1
v0.61,"length comps, spawner recruit, process error, known f",1,1,0,0,0,1,1,1,1,1
v0.62,"length comps, spawner recruit, process error, known f, temperature movement",1,1,1,0,0,1,1,0,1,1
v0.63,"length comps, spawner recruit, process error, known f, temperature recruitment",1,1,0,1,0,1,1,1,1,1
v0.64,"length comps, spawner recruit, process error, known f, temperature mortality",1,1,0,0,1,1,1,1,1,1
