feature,name,metric,value
centroid,DRM T-mortality,RMSE,0.6816658480740596
centroid,DRM T-mortality,Bias,-0.16927058791681315
centroid,DRM T-movement,RMSE,0.9334500617116237
centroid,DRM T-movement,Bias,0.7717032222191704
centroid,DRM T-recruit,RMSE,0.4889280093676652
centroid,DRM T-recruit,Bias,-0.27526473291681314
centroid,DRM null,RMSE,1.0197209651149535
centroid,DRM null,Bias,0.9365800504715247
centroid,GAM,RMSE,0.7849445322073147
centroid,GAM,Bias,-0.5188359930337927
centroid,Persistence,RMSE,0.4939483078848906
centroid,Persistence,Bias,0.2923725573609538
cold_edge,DRM T-mortality,RMSE,0.4464404398103982
cold_edge,DRM T-mortality,Bias,-0.1648118351236873
cold_edge,DRM T-movement,RMSE,2.390587078541689
cold_edge,DRM T-movement,Bias,2.3750280021156924
cold_edge,DRM T-recruit,RMSE,0.4026533677254865
cold_edge,DRM T-recruit,Bias,-0.2695976813950964
cold_edge,DRM null,RMSE,2.4288176968047055
cold_edge,DRM null,Bias,2.412173914161158
cold_edge,GAM,RMSE,1.6277861473760935
cold_edge,GAM,Bias,1.5805712553244387
cold_edge,Persistence,RMSE,0.30118794998666903
cold_edge,Persistence,Bias,0.11639577657285258
warm_edge,DRM T-mortality,RMSE,0.4966476486980819
warm_edge,DRM T-mortality,Bias,0.11943447004756289
warm_edge,DRM T-movement,RMSE,0.7231142879324437
warm_edge,DRM T-movement,Bias,-0.22838666567247895
warm_edge,DRM T-recruit,RMSE,0.5282525688086637
warm_edge,DRM T-recruit,Bias,-0.14859816287879135
warm_edge,DRM null,RMSE,0.8320014095677868
warm_edge,DRM null,Bias,-0.6806057334080892
warm_edge,GAM,RMSE,1.1286063014494985
warm_edge,GAM,Bias,-0.97240243878819
warm_edge,Persistence,RMSE,0.8836180356796771
warm_edge,Persistence,Bias,0.7433898076905159
