year,feature,value_tmp,name
2007,Warm Edge,36.52562916214383,Observed
2007,Centroid,38.8744388453367,Observed
2007,Cold Edge,41.591177318332576,Observed
2008,Warm Edge,36.22371804511278,Observed
2008,Centroid,38.73557503731362,Observed
2008,Cold Edge,40.99675607938766,Observed
2009,Warm Edge,36.072025510845364,Observed
2009,Centroid,38.13733248035928,Observed
2009,Cold Edge,40.89699810121299,Observed
2010,Warm Edge,35.40767977763485,Observed
2010,Centroid,38.11151218693743,Observed
2010,Cold Edge,41.53337856776734,Observed
2011,Warm Edge,37.2283789520824,Observed
2011,Centroid,39.180817930372434,Observed
2011,Cold Edge,41.39274889464117,Observed
2012,Warm Edge,36.03316545974047,Observed
2012,Centroid,38.50004747809483,Observed
2012,Cold Edge,41.68034055471604,Observed
2013,Warm Edge,36.80591333270043,Observed
2013,Centroid,39.139074926683705,Observed
2013,Cold Edge,41.5145018731499,Observed
2014,Warm Edge,36.19594668525555,Observed
2014,Centroid,38.13101545598749,Observed
2014,Cold Edge,41.18061775373221,Observed
2015,Warm Edge,36.755676742020555,Observed
2015,Centroid,38.65204099148714,Observed
2015,Cold Edge,40.99120297422877,Observed
2016,Warm Edge,36.41326594263436,Observed
2016,Centroid,38.16154903826217,Observed
2016,Cold Edge,41.587195521483444,Observed
2007,Warm Edge,36.081468902062745,GAM
2007,Centroid,38.10497637128045,GAM
2007,Cold Edge,43.044610434570885,GAM
2009,Warm Edge,35.63272388517084,GAM
2009,Centroid,37.93034155935763,GAM
2009,Cold Edge,42.58696262319849,GAM
2010,Warm Edge,35.21396778913782,GAM
2010,Centroid,37.74651816763421,GAM
2010,Cold Edge,42.88363906652642,GAM
2011,Warm Edge,35.21254318104217,GAM
2011,Centroid,37.61368428883936,GAM
2011,Cold Edge,42.321807650258265,GAM
2012,Warm Edge,35.21631932366346,GAM
2012,Centroid,37.612211888617914,GAM
2012,Cold Edge,42.85375904753372,GAM
2013,Warm Edge,35.261127483648764,GAM
2013,Centroid,38.07712656515303,GAM
2013,Cold Edge,43.58361794379203,GAM
2014,Warm Edge,35.50149504684363,GAM
2014,Centroid,38.634865237087055,GAM
2014,Cold Edge,43.126467704028194,GAM
2015,Warm Edge,35.29638481812822,GAM
2015,Centroid,38.269005218528854,GAM
2015,Cold Edge,43.12781487107175,GAM
2016,Warm Edge,35.27002918626644,GAM
2016,Centroid,38.22957609971854,GAM
2016,Cold Edge,43.06462351620464,GAM
2007,Warm Edge,37.109529768707574,Persistence
2007,Cold Edge,41.45288754043806,Persistence
2007,Centroid,38.854712994444434,Persistence
2008,Warm Edge,37.109529768707574,Persistence
2008,Cold Edge,41.45288754043806,Persistence
2008,Centroid,38.854712994444434,Persistence
2009,Warm Edge,37.109529768707574,Persistence
2009,Cold Edge,41.45288754043806,Persistence
2009,Centroid,38.854712994444434,Persistence
2010,Warm Edge,37.109529768707574,Persistence
2010,Cold Edge,41.45288754043806,Persistence
2010,Centroid,38.854712994444434,Persistence
2011,Warm Edge,37.109529768707574,Persistence
2011,Cold Edge,41.45288754043806,Persistence
2011,Centroid,38.854712994444434,Persistence
2012,Warm Edge,37.109529768707574,Persistence
2012,Cold Edge,41.45288754043806,Persistence
2012,Centroid,38.854712994444434,Persistence
2013,Warm Edge,37.109529768707574,Persistence
2013,Cold Edge,41.45288754043806,Persistence
2013,Centroid,38.854712994444434,Persistence
2014,Warm Edge,37.109529768707574,Persistence
2014,Cold Edge,41.45288754043806,Persistence
2014,Centroid,38.854712994444434,Persistence
2015,Warm Edge,37.109529768707574,Persistence
2015,Cold Edge,41.45288754043806,Persistence
2015,Centroid,38.854712994444434,Persistence
2016,Warm Edge,37.109529768707574,Persistence
2016,Cold Edge,41.45288754043806,Persistence
2016,Centroid,38.854712994444434,Persistence
