id,successful_chains,mean_divergences,low_ebfmi
v0.1,4,0.035833333333333335,FALSE
v0.2,4,0,FALSE
v0.3,4,0.009333333333333332,FALSE
v0.4,4,0.10041666666666667,FALSE
v0.5,4,0.06608333333333333,FALSE
v0.6,4,0.005,FALSE
v0.7,4,0.0945,FALSE
v0.8,4,0.05541666666666667,FALSE
v0.9,4,0,FALSE
v0.10,4,0,FALSE
v0.11,4,0,FALSE
v0.12,4,0.019666666666666666,FALSE
v0.13,4,0.012333333333333333,FALSE
v0.14,4,0.020999999999999998,FALSE
v0.15,4,0.0075,FALSE
v0.16,4,0,FALSE
v0.17,4,0.00475,FALSE
v0.18,4,0.01583333333333333,FALSE
v0.19,4,0.005,FALSE
v0.20,4,0.017333333333333333,FALSE
v0.21,4,0.06508333333333333,FALSE
v0.22,4,0.0011666666666666665,FALSE
v0.23,4,0.07458333333333333,FALSE
v0.24,4,0.00975,FALSE
v0.25,4,0.005583333333333333,FALSE
v0.26,4,0.03258333333333333,FALSE
v0.27,4,0.0011666666666666665,FALSE
v0.28,4,0,FALSE
v0.29,4,0,FALSE
v0.30,4,0.005083333333333334,FALSE
v0.31,4,0,FALSE
v0.32,4,0,FALSE
v0.33,4,0.024166666666666666,FALSE
v0.34,4,0,FALSE
v0.35,4,0.029166666666666667,FALSE
v0.36,4,0.023333333333333334,FALSE
v0.37,4,0.0195,FALSE
v0.38,4,0.023583333333333335,FALSE
v0.39,4,0.010166666666666668,FALSE
v0.40,4,0.0025,FALSE
v0.41,4,0.06925,FALSE
v0.42,4,0.019416666666666665,FALSE
v0.43,4,0.005916666666666666,FALSE
v0.44,4,0.01891666666666667,FALSE
v0.45,4,0,FALSE
v0.46,4,0,FALSE
v0.47,4,0,FALSE
v0.48,4,0.01675,FALSE
v0.49,4,0.0035833333333333333,FALSE
v0.50,4,0,FALSE
v0.51,4,3.333333333333334e-4,FALSE
v0.52,4,6.666666666666666e-4,FALSE
v0.53,4,0,FALSE
v0.54,4,0,FALSE
v0.55,4,1.6666666666666666e-4,FALSE
v0.56,4,8.333333333333333e-5,FALSE
v0.57,4,0,FALSE
v0.58,4,0.19058333333333335,FALSE
v0.59,4,0.011833333333333335,FALSE
v0.60,4,0.02375,FALSE
v0.61,4,0,FALSE
v0.62,4,5.833333333333334e-4,FALSE
v0.63,4,0,FALSE
v0.64,4,0,FALSE
